deposit_the_first,age,gender,label
17967,31,Both,Yes-Peoples Bank
6203,43,Both,Yes-Peoples Bank
28174,19,Both,Yes-Peoples Bank
91989,27,Both,Yes-Peoples Bank
53852,21,Both,Yes-Peoples Bank
44228,41,Both,Yes-Peoples Bank
19744,26,Both,Yes-Peoples Bank
43253,48,Both,Yes-Peoples Bank
83460,50,Both,Yes-Peoples Bank
51952,44,Both,Yes-Peoples Bank
53619,50,Both,Yes-Peoples Bank
59824,26,Both,Yes-Peoples Bank
27786,23,Both,Yes-Peoples Bank
72616,21,Both,Yes-Peoples Bank
91638,32,Both,Yes-Peoples Bank
97161,26,Both,Yes-Peoples Bank
95107,18,Both,Yes-Peoples Bank
36232,28,Both,Yes-Peoples Bank
9054,49,Both,Yes-Peoples Bank
25628,32,Both,Yes-Peoples Bank
50802,25,Both,Yes-Peoples Bank
39746,27,Both,Yes-Peoples Bank
57969,49,Both,Yes-Peoples Bank
83207,31,Both,Yes-Peoples Bank
41995,34,Both,Yes-Peoples Bank
17707,47,Both,Yes-Peoples Bank
72591,32,Both,Yes-Peoples Bank
7305,36,Both,Yes-Peoples Bank
40516,44,Both,Yes-Peoples Bank
41281,44,Both,Yes-Peoples Bank
50734,39,Both,Yes-Peoples Bank
90579,46,Both,Yes-Peoples Bank
96306,37,Both,Yes-Peoples Bank
86902,36,Both,Yes-Peoples Bank
66422,37,Both,Yes-Peoples Bank
95079,41,Both,Yes-Peoples Bank
96512,29,Both,Yes-Peoples Bank
23373,35,Both,Yes-Peoples Bank
31537,33,Both,Yes-Peoples Bank
46186,30,Both,Yes-Peoples Bank
84436,26,Both,Yes-Peoples Bank
28808,49,Both,Yes-Peoples Bank
91254,18,Both,Yes-Peoples Bank
79695,26,Both,Yes-Peoples Bank
53782,50,Both,Yes-Peoples Bank
74985,23,Both,Yes-Peoples Bank
34482,31,Both,Yes-Peoples Bank
45772,18,Both,Yes-Peoples Bank
52388,42,Both,Yes-Peoples Bank
8709,43,Both,Yes-Peoples Bank
49401,27,Both,Yes-Peoples Bank
45210,33,Both,Yes-Peoples Bank
71167,45,Both,Yes-Peoples Bank
9172,48,Both,Yes-Peoples Bank
56034,25,Both,Yes-Peoples Bank
19364,44,Both,Yes-Peoples Bank
39529,34,Both,Yes-Peoples Bank
7439,20,Both,Yes-Peoples Bank
47916,45,Both,Yes-Peoples Bank
98202,28,Both,Yes-Peoples Bank
19259,43,Both,Yes-Peoples Bank
47335,25,Both,Yes-Peoples Bank
10544,49,Both,Yes-Peoples Bank
49975,38,Both,Yes-Peoples Bank
78007,38,Both,Yes-Peoples Bank
99212,39,Both,Yes-Peoples Bank
21570,32,Both,Yes-Peoples Bank
76882,23,Both,Yes-Peoples Bank
71487,18,Both,Yes-Peoples Bank
59507,37,Both,Yes-Peoples Bank
32177,39,Both,Yes-Peoples Bank
72745,49,Both,Yes-Peoples Bank
65368,30,Both,Yes-Peoples Bank
81095,41,Both,Yes-Peoples Bank
7724,48,Both,Yes-Peoples Bank
62198,44,Both,Yes-Peoples Bank
97715,34,Both,Yes-Peoples Bank
46492,44,Both,Yes-Peoples Bank
64151,49,Both,Yes-Peoples Bank
21073,28,Both,Yes-Peoples Bank
60959,30,Both,Yes-Peoples Bank
32464,25,Both,Yes-Peoples Bank
64841,27,Both,Yes-Peoples Bank
81155,18,Both,Yes-Peoples Bank
60132,19,Both,Yes-Peoples Bank
33866,18,Both,Yes-Peoples Bank
39602,45,Both,Yes-Peoples Bank
68520,28,Both,Yes-Peoples Bank
33909,34,Both,Yes-Peoples Bank
6275,21,Both,Yes-Peoples Bank
20936,45,Both,Yes-Peoples Bank
84834,43,Both,Yes-Peoples Bank
22736,35,Both,Yes-Peoples Bank
83848,50,Both,Yes-Peoples Bank
27070,46,Both,Yes-Peoples Bank
27264,30,Both,Yes-Peoples Bank
21454,21,Both,Yes-Peoples Bank
30892,48,Both,Yes-Peoples Bank
28021,48,Both,Yes-Peoples Bank
21717,34,Both,Yes-Peoples Bank
41285,48,Both,Yes-Peoples Bank
19794,35,Both,Yes-Peoples Bank
69420,33,Both,Yes-Peoples Bank
10032,45,Both,Yes-Peoples Bank
61187,20,Both,Yes-Peoples Bank
36098,26,Both,Yes-Peoples Bank
16434,31,Both,Yes-Peoples Bank
7628,50,Both,Yes-Peoples Bank
12623,50,Both,Yes-Peoples Bank
86391,46,Both,Yes-Peoples Bank
61682,46,Both,Yes-Peoples Bank
50749,23,Both,Yes-Peoples Bank
25789,30,Both,Yes-Peoples Bank
57989,42,Both,Yes-Peoples Bank
60742,40,Both,Yes-Peoples Bank
36780,42,Both,Yes-Peoples Bank
76276,38,Both,Yes-Peoples Bank
10344,41,Both,Yes-Peoples Bank
98329,41,Both,Yes-Peoples Bank
23752,39,Both,Yes-Peoples Bank
48635,25,Both,Yes-Peoples Bank
50712,45,Both,Yes-Peoples Bank
2552,32,Both,Yes-Peoples Bank
81603,21,Both,Yes-Peoples Bank
50474,49,Both,Yes-Peoples Bank
63864,50,Both,Yes-Peoples Bank
61118,35,Both,Yes-Peoples Bank
89767,39,Both,Yes-Peoples Bank
76054,23,Both,Yes-Peoples Bank
65370,28,Both,Yes-Peoples Bank
83895,50,Both,Yes-Peoples Bank
9833,31,Both,Yes-Peoples Bank
83716,18,Both,Yes-Peoples Bank
35162,46,Both,Yes-Peoples Bank
75636,31,Both,Yes-Peoples Bank
25354,45,Both,Yes-Peoples Bank
58899,32,Both,Yes-Peoples Bank
30482,43,Both,Yes-Peoples Bank
62440,23,Both,Yes-Peoples Bank
62641,37,Both,Yes-Peoples Bank
14151,38,Both,Yes-Peoples Bank
20633,31,Both,Yes-Peoples Bank
91200,48,Both,Yes-Peoples Bank
84618,22,Both,Yes-Peoples Bank
48231,46,Both,Yes-Peoples Bank
95908,47,Both,Yes-Peoples Bank
24448,20,Both,Yes-Peoples Bank
3288,29,Both,Yes-Peoples Bank
55531,19,Both,Yes-Peoples Bank
62812,41,Both,Yes-Peoples Bank
53792,22,Both,Yes-Peoples Bank
44428,28,Both,Yes-Peoples Bank
37874,45,Both,Yes-Peoples Bank
91850,18,Both,Yes-Peoples Bank
42155,18,Both,Yes-Peoples Bank
9476,31,Both,Yes-Peoples Bank
60433,31,Both,Yes-Peoples Bank
19577,49,Both,Yes-Peoples Bank
52985,39,Both,Yes-Peoples Bank
23264,40,Both,Yes-Peoples Bank
10737,36,Both,Yes-Peoples Bank
19502,21,Both,Yes-Peoples Bank
24011,45,Both,Yes-Peoples Bank
92000,50,Both,Yes-Peoples Bank
90050,47,Both,Yes-Peoples Bank
90566,34,Both,Yes-Peoples Bank
96620,43,Both,Yes-Peoples Bank
30774,32,Both,Yes-Peoples Bank
13326,42,Both,Yes-Peoples Bank
30364,44,Both,Yes-Peoples Bank
38930,34,Both,Yes-Peoples Bank
7490,36,Both,Yes-Peoples Bank
29436,46,Both,Yes-Peoples Bank
52642,46,Both,Yes-Peoples Bank
12910,32,Both,Yes-Peoples Bank
97955,24,Both,Yes-Peoples Bank
77262,23,Both,Yes-Peoples Bank
6503,24,Both,Yes-Peoples Bank
24394,29,Both,Yes-Peoples Bank
95338,32,Both,Yes-Peoples Bank
82526,26,Both,Yes-Peoples Bank
84759,44,Both,Yes-Peoples Bank
90922,28,Both,Yes-Peoples Bank
15871,30,Both,Yes-Peoples Bank
95533,29,Both,Yes-Peoples Bank
77559,32,Both,Yes-Peoples Bank
45962,20,Both,Yes-Peoples Bank
6527,26,Both,Yes-Peoples Bank
75690,18,Both,Yes-Peoples Bank
56580,48,Both,Yes-Peoples Bank
92397,22,Both,Yes-Peoples Bank
29674,24,Both,Yes-Peoples Bank
74816,25,Both,Yes-Peoples Bank
64236,36,Both,Yes-Peoples Bank
62229,46,Both,Yes-Peoples Bank
30597,36,Both,Yes-Peoples Bank
80353,37,Both,Yes-Peoples Bank
63768,19,Both,Yes-Peoples Bank
60881,47,Both,Yes-Peoples Bank
35314,31,Both,Yes-Peoples Bank
12683,48,Both,Yes-Peoples Bank
7314,21,Both,Yes-Peoples Bank
58506,48,Both,Yes-Peoples Bank
77196,35,Both,Yes-Peoples Bank
65853,41,Both,Yes-Peoples Bank
56533,30,Both,Yes-Peoples Bank
46974,33,Both,Yes-Peoples Bank
17799,31,Both,Yes-Peoples Bank
73693,47,Both,Yes-Peoples Bank
42274,32,Both,Yes-Peoples Bank
71020,34,Both,Yes-Peoples Bank
61262,44,Both,Yes-Peoples Bank
14886,20,Both,Yes-Peoples Bank
42500,45,Both,Yes-Peoples Bank
72367,29,Both,Yes-Peoples Bank
50899,29,Both,Yes-Peoples Bank
86814,46,Both,Yes-Peoples Bank
92775,21,Both,Yes-Peoples Bank
24256,49,Both,Yes-Peoples Bank
22983,35,Both,Yes-Peoples Bank
11963,21,Both,Yes-Peoples Bank
59711,20,Both,Yes-Peoples Bank
2668,24,Both,Yes-Peoples Bank
24563,19,Both,Yes-Peoples Bank
93461,37,Both,Yes-Peoples Bank
35307,30,Both,Yes-Peoples Bank
21655,28,Both,Yes-Peoples Bank
16696,19,Both,Yes-Peoples Bank
21761,34,Both,Yes-Peoples Bank
92049,36,Both,Yes-Peoples Bank
43333,20,Both,Yes-Peoples Bank
52627,24,Both,Yes-Peoples Bank
31717,47,Both,Yes-Peoples Bank
43121,26,Both,Yes-Peoples Bank
81457,34,Both,Yes-Peoples Bank
20212,41,Both,Yes-Peoples Bank
52061,33,Both,Yes-Peoples Bank
94343,42,Both,Yes-Peoples Bank
56331,22,Both,Yes-Peoples Bank
21575,35,Both,Yes-Peoples Bank
62555,26,Both,Yes-Peoples Bank
90903,42,Both,Yes-Peoples Bank
80895,21,Both,Yes-Peoples Bank
14540,40,Both,Yes-Peoples Bank
58242,36,Both,Yes-Peoples Bank
77253,47,Both,Yes-Peoples Bank
14695,32,Both,Yes-Peoples Bank
74565,32,Both,Yes-Peoples Bank
68889,19,Both,Yes-Peoples Bank
63286,23,Both,Yes-Peoples Bank
7976,24,Both,Yes-Peoples Bank
20478,44,Both,Yes-Peoples Bank
55606,19,Both,Yes-Peoples Bank
8983,39,Both,Yes-Peoples Bank
92559,28,Both,Yes-Peoples Bank
29621,39,Both,Yes-Peoples Bank
28157,23,Both,Yes-Peoples Bank
78825,45,Both,Yes-Peoples Bank
14541,28,Both,Yes-Peoples Bank
49907,25,Both,Yes-Peoples Bank
73222,37,Both,Yes-Peoples Bank
37417,21,Both,Yes-Peoples Bank
21079,21,Both,Yes-Peoples Bank
73845,37,Both,Yes-Peoples Bank
47816,34,Both,Yes-Peoples Bank
48217,40,Both,Yes-Peoples Bank
93558,26,Both,Yes-Peoples Bank
45223,19,Both,Yes-Peoples Bank
42550,28,Both,Yes-Peoples Bank
95356,50,Both,Yes-Peoples Bank
43727,26,Both,Yes-Peoples Bank
72879,21,Both,Yes-Peoples Bank
55096,40,Both,Yes-Peoples Bank
56558,30,Both,Yes-Peoples Bank
50762,45,Both,Yes-Peoples Bank
77288,44,Both,Yes-Peoples Bank
90357,50,Both,Yes-Peoples Bank
31065,31,Both,Yes-Peoples Bank
88336,31,Both,Yes-Peoples Bank
41500,18,Both,Yes-Peoples Bank
28242,33,Both,Yes-Peoples Bank
47963,47,Both,Yes-Peoples Bank
54290,42,Both,Yes-Peoples Bank
77379,44,Both,Yes-Peoples Bank
70400,48,Both,Yes-Peoples Bank
79107,35,Both,Yes-Peoples Bank
38382,45,Both,Yes-Peoples Bank
88717,31,Both,Yes-Peoples Bank
8196,25,Both,Yes-Peoples Bank
74154,44,Both,Yes-Peoples Bank
68497,22,Both,Yes-Peoples Bank
67926,35,Both,Yes-Peoples Bank
29754,23,Both,Yes-Peoples Bank
76389,39,Both,Yes-Peoples Bank
80582,22,Both,Yes-Peoples Bank
40313,41,Both,Yes-Peoples Bank
96362,46,Both,Yes-Peoples Bank
96339,25,Both,Yes-Peoples Bank
8056,45,Both,Yes-Peoples Bank
14788,49,Both,Yes-Peoples Bank
83667,30,Both,Yes-Peoples Bank
72655,48,Both,Yes-Peoples Bank
73788,46,Both,Yes-Peoples Bank
26141,22,Both,Yes-Peoples Bank
22384,49,Both,Yes-Peoples Bank
4884,42,Both,Yes-Peoples Bank
89225,46,Both,Yes-Peoples Bank
46446,27,Both,Yes-Peoples Bank
52659,35,Both,Yes-Peoples Bank
29797,39,Both,Yes-Peoples Bank
57543,32,Both,Yes-Peoples Bank
97625,48,Both,Yes-Peoples Bank
89261,24,Both,Yes-Peoples Bank
51274,32,Both,Yes-Peoples Bank
33697,28,Both,Yes-Peoples Bank
31794,47,Both,Yes-Peoples Bank
6231,40,Both,Yes-Peoples Bank
89823,30,Both,Yes-Peoples Bank
48062,41,Both,Yes-Peoples Bank
10093,47,Both,Yes-Peoples Bank
81613,39,Both,Yes-Peoples Bank
89451,30,Both,Yes-Peoples Bank
70306,26,Both,Yes-Peoples Bank
74369,18,Both,Yes-Peoples Bank
88438,43,Both,Yes-Peoples Bank
17800,27,Both,Yes-Peoples Bank
15254,39,Both,Yes-Peoples Bank
98695,24,Both,Yes-Peoples Bank
96602,46,Both,Yes-Peoples Bank
52035,24,Both,Yes-Peoples Bank
16817,20,Both,Yes-Peoples Bank
73245,26,Both,Yes-Peoples Bank
66818,34,Both,Yes-Peoples Bank
97482,46,Both,Yes-Peoples Bank
75523,36,Both,Yes-Peoples Bank
75218,21,Both,Yes-Peoples Bank
96440,33,Both,Yes-Peoples Bank
87132,39,Both,Yes-Peoples Bank
49815,21,Both,Yes-Peoples Bank
92771,43,Both,Yes-Peoples Bank
23705,34,Both,Yes-Peoples Bank
29242,40,Both,Yes-Peoples Bank
27455,47,Both,Yes-Peoples Bank
9660,29,Both,Yes-Peoples Bank
9321,37,Both,Yes-Peoples Bank
21261,37,Both,Yes-Peoples Bank
47017,21,Both,Yes-Peoples Bank
29646,43,Both,Yes-Peoples Bank
46425,22,Both,Yes-Peoples Bank
43823,23,Both,Yes-Peoples Bank
57587,48,Both,Yes-Peoples Bank
34136,18,Both,Yes-Peoples Bank
2715,27,Both,Yes-Peoples Bank
9521,41,Both,Yes-Peoples Bank
39460,46,Both,Yes-Peoples Bank
92535,34,Both,Yes-Peoples Bank
96452,46,Both,Yes-Peoples Bank
44027,31,Both,Yes-Peoples Bank
12992,39,Both,Yes-Peoples Bank
80401,25,Both,Yes-Peoples Bank
7379,41,Both,Yes-Peoples Bank
34898,40,Both,Yes-Peoples Bank
38917,25,Both,Yes-Peoples Bank
6353,43,Both,Yes-Peoples Bank
50539,33,Both,Yes-Peoples Bank
8142,46,Both,Yes-Peoples Bank
27953,27,Both,Yes-Peoples Bank
69060,31,Both,Yes-Peoples Bank
63192,38,Both,Yes-Peoples Bank
80381,28,Both,Yes-Peoples Bank
52094,41,Both,Yes-Peoples Bank
79942,33,Both,Yes-Peoples Bank
12819,36,Both,Yes-Peoples Bank
42076,25,Both,Yes-Peoples Bank
58950,31,Both,Yes-Peoples Bank
38607,77,Both,Achara-NDB
26964,63,Both,Achara-NDB
18494,58,Both,Achara-NDB
3671,80,Both,Achara-NDB
41954,81,Both,Achara-NDB
71434,73,Both,Achara-NDB
37815,93,Both,Achara-NDB
36333,95,Both,Achara-NDB
64323,69,Both,Achara-NDB
44537,56,Both,Achara-NDB
56305,60,Both,Achara-NDB
96978,58,Both,Achara-NDB
34210,70,Both,Achara-NDB
31414,81,Both,Achara-NDB
76339,95,Both,Achara-NDB
44741,96,Both,Achara-NDB
2440,67,Both,Achara-NDB
48738,83,Both,Achara-NDB
6666,62,Both,Achara-NDB
5241,71,Both,Achara-NDB
7327,97,Both,Achara-NDB
20211,63,Both,Achara-NDB
84251,55,Both,Achara-NDB
3926,75,Both,Achara-NDB
4089,88,Both,Achara-NDB
55864,76,Both,Achara-NDB
51589,85,Both,Achara-NDB
26470,83,Both,Achara-NDB
94004,80,Both,Achara-NDB
7269,97,Both,Achara-NDB
37715,88,Both,Achara-NDB
42947,73,Both,Achara-NDB
29170,73,Both,Achara-NDB
857,86,Both,Achara-NDB
32678,83,Both,Achara-NDB
76670,84,Both,Achara-NDB
64805,91,Both,Achara-NDB
22221,98,Both,Achara-NDB
35103,67,Both,Achara-NDB
91269,72,Both,Achara-NDB
9385,79,Both,Achara-NDB
41819,96,Both,Achara-NDB
30361,65,Both,Achara-NDB
19473,79,Both,Achara-NDB
96084,55,Both,Achara-NDB
12173,74,Both,Achara-NDB
55351,95,Both,Achara-NDB
35619,60,Both,Achara-NDB
97101,55,Both,Achara-NDB
55175,94,Both,Achara-NDB
82610,56,Both,Achara-NDB
26509,67,Both,Achara-NDB
45416,81,Both,Achara-NDB
60300,94,Both,Achara-NDB
75912,68,Both,Achara-NDB
44591,78,Both,Achara-NDB
99358,89,Both,Achara-NDB
29592,90,Both,Achara-NDB
99629,57,Both,Achara-NDB
20967,77,Both,Achara-NDB
5359,74,Both,Achara-NDB
18392,95,Both,Achara-NDB
29400,85,Both,Achara-NDB
15498,56,Both,Achara-NDB
4521,76,Both,Achara-NDB
9996,56,Both,Achara-NDB
53689,97,Both,Achara-NDB
42342,89,Both,Achara-NDB
34693,81,Both,Achara-NDB
39046,69,Both,Achara-NDB
89640,100,Both,Achara-NDB
1459,71,Both,Achara-NDB
47258,68,Both,Achara-NDB
46017,96,Both,Achara-NDB
75353,83,Both,Achara-NDB
12636,85,Both,Achara-NDB
96243,62,Both,Achara-NDB
21315,66,Both,Achara-NDB
89732,98,Both,Achara-NDB
46392,65,Both,Achara-NDB
13673,97,Both,Achara-NDB
96755,83,Both,Achara-NDB
24658,83,Both,Achara-NDB
50242,85,Both,Achara-NDB
3566,81,Both,Achara-NDB
68003,84,Both,Achara-NDB
93542,60,Both,Achara-NDB
59181,86,Both,Achara-NDB
9953,93,Both,Achara-NDB
17236,61,Both,Achara-NDB
48252,88,Both,Achara-NDB
16521,84,Both,Achara-NDB
2680,99,Both,Achara-NDB
60402,70,Both,Achara-NDB
51787,74,Both,Achara-NDB
45162,89,Both,Achara-NDB
92495,74,Both,Achara-NDB
46339,74,Both,Achara-NDB
71318,57,Both,Achara-NDB
58539,86,Both,Achara-NDB
67440,98,Both,Achara-NDB
26086,79,Both,Achara-NDB
8436,90,Both,Achara-NDB
48974,86,Both,Achara-NDB
39519,62,Both,Achara-NDB
57990,90,Both,Achara-NDB
27296,76,Both,Achara-NDB
26795,93,Both,Achara-NDB
358,74,Both,Achara-NDB
43731,62,Both,Achara-NDB
14675,100,Both,Achara-NDB
96518,75,Both,Achara-NDB
88665,86,Both,Achara-NDB
35644,63,Both,Achara-NDB
97642,84,Both,Achara-NDB
91201,68,Both,Achara-NDB
24198,64,Both,Achara-NDB
63163,82,Both,Achara-NDB
40870,95,Both,Achara-NDB
14801,100,Both,Achara-NDB
44325,71,Both,Achara-NDB
12314,90,Both,Achara-NDB
64706,81,Both,Achara-NDB
15027,76,Both,Achara-NDB
92820,75,Both,Achara-NDB
10724,73,Both,Achara-NDB
8790,96,Both,Achara-NDB
90985,80,Both,Achara-NDB
55052,66,Both,Achara-NDB
3157,100,Both,Achara-NDB
68816,59,Both,Achara-NDB
34489,74,Both,Achara-NDB
19919,87,Both,Achara-NDB
55631,58,Both,Achara-NDB
44866,55,Both,Achara-NDB
42374,65,Both,Achara-NDB
4384,88,Both,Achara-NDB
88758,67,Both,Achara-NDB
8235,60,Both,Achara-NDB
71468,92,Both,Achara-NDB
78845,92,Both,Achara-NDB
49997,96,Both,Achara-NDB
59222,71,Both,Achara-NDB
24485,89,Both,Achara-NDB
77100,100,Both,Achara-NDB
93330,70,Both,Achara-NDB
54617,60,Both,Achara-NDB
68536,92,Both,Achara-NDB
55588,59,Both,Achara-NDB
72275,84,Both,Achara-NDB
31551,87,Both,Achara-NDB
67145,74,Both,Achara-NDB
43768,90,Both,Achara-NDB
46878,63,Both,Achara-NDB
95959,76,Both,Achara-NDB
55655,65,Both,Achara-NDB
11730,72,Both,Achara-NDB
16924,72,Both,Achara-NDB
32630,99,Both,Achara-NDB
55498,88,Both,Achara-NDB
60405,98,Both,Achara-NDB
77266,57,Both,Achara-NDB
27709,87,Both,Achara-NDB
39933,93,Both,Achara-NDB
84661,90,Both,Achara-NDB
29004,74,Both,Achara-NDB
37536,88,Both,Achara-NDB
8235,83,Both,Achara-NDB
97167,87,Both,Achara-NDB
90501,78,Both,Achara-NDB
83971,80,Both,Achara-NDB
1804,98,Both,Achara-NDB
53148,64,Both,Achara-NDB
336,66,Both,Achara-NDB
34290,81,Both,Achara-NDB
74517,97,Both,Achara-NDB
73447,65,Both,Achara-NDB
72865,75,Both,Achara-NDB
65996,60,Both,Achara-NDB
16891,99,Both,Achara-NDB
5212,71,Both,Achara-NDB
19310,92,Both,Achara-NDB
64541,69,Both,Achara-NDB
7637,92,Both,Achara-NDB
53098,71,Both,Achara-NDB
78917,82,Both,Achara-NDB
53373,68,Both,Achara-NDB
10279,55,Both,Achara-NDB
36785,55,Both,Achara-NDB
99770,94,Both,Achara-NDB
83759,66,Both,Achara-NDB
79271,63,Both,Achara-NDB
72050,93,Both,Achara-NDB
94253,78,Both,Achara-NDB
81770,88,Both,Achara-NDB
37398,79,Both,Achara-NDB
52556,70,Both,Achara-NDB
49565,66,Both,Achara-NDB
4986,70,Both,Achara-NDB
88565,75,Both,Achara-NDB
92480,59,Both,Achara-NDB
35674,85,Both,Achara-NDB
98159,80,Both,Achara-NDB
69913,63,Both,Achara-NDB
73177,87,Both,Achara-NDB
67267,55,Both,Achara-NDB
77287,80,Both,Achara-NDB
87796,66,Both,Achara-NDB
66761,66,Both,Achara-NDB
94847,97,Both,Achara-NDB
84266,98,Both,Achara-NDB
3527,95,Both,Achara-NDB
70773,60,Both,Achara-NDB
70610,100,Both,Achara-NDB
79828,72,Both,Achara-NDB
38835,63,Both,Achara-NDB
31727,73,Both,Achara-NDB
34027,79,Both,Achara-NDB
83523,87,Both,Achara-NDB
31796,69,Both,Achara-NDB
53008,82,Both,Achara-NDB
7537,87,Both,Achara-NDB
25644,57,Both,Achara-NDB
82734,89,Both,Achara-NDB
58484,69,Both,Achara-NDB
14298,56,Both,Achara-NDB
22749,91,Both,Achara-NDB
34068,74,Both,Achara-NDB
5106,78,Both,Achara-NDB
17841,62,Both,Achara-NDB
30965,74,Both,Achara-NDB
44088,58,Both,Achara-NDB
87206,94,Both,Achara-NDB
56346,72,Both,Achara-NDB
25972,62,Both,Achara-NDB
29644,65,Both,Achara-NDB
64001,72,Both,Achara-NDB
8153,72,Both,Achara-NDB
39662,90,Both,Achara-NDB
99010,66,Both,Achara-NDB
16803,64,Both,Achara-NDB
51138,74,Both,Achara-NDB
72153,79,Both,Achara-NDB
95568,78,Both,Achara-NDB
73960,57,Both,Achara-NDB
80344,90,Both,Achara-NDB
15462,62,Both,Achara-NDB
90604,80,Both,Achara-NDB
69441,90,Both,Achara-NDB
